Entrance ID,Longitude,Latitude,Entrance Destination,Entrance Name
7056476416,101.6451675,3.0503339,,
7056476417,101.6443854,3.0502321,,
7056476419,101.6449509,3.0504840,Bandar Kinrara BK 5;Giant Hypermarket,
7104299331,101.7273717,3.1251558,,AEON
7150491826,101.5862977,3.0765187,,
7150491837,101.5859436,3.0756213,,
7259253706,101.6991072,3.1590919,,A
7299533782,101.7319006,3.1049728,,A
7308309728,101.7726712,3.0406991,Jalan Balakong,B
7387995582,101.7097169,3.1430868,,A
7387995584,101.7098493,3.1427211,,C
7629425122,101.7564690,3.1406776,,
7702628710,101.7908900,2.9838212,Jalan Bukit,B
7733651045,101.6125364,3.0162107,,
7733651046,101.6128542,3.0160515,,
8074913901,101.5907454,3.0961458,,
8711020731,101.5859593,3.0670669,,
9221724469,101.6558631,3.2097348,,A
9221724470,101.6559017,3.2093868,,A
9221724471,101.6480120,3.2107181,,B
9221724474,101.6083453,3.1978429,,A
9221724475,101.6080406,3.1985341,,B
9221724476,101.5924942,3.2000956,,
9229552290,101.6208466,3.1986159,,
9229552291,101.6208793,3.1983477,,
9229566390,101.5925125,3.1997354,,D
9358657242,101.5948556,3.1500345,Sunway Nexis,C
9361137458,101.6126430,3.1108192,,
9378300196,101.6792866,3.1939803,,B
9378325928,101.6797648,3.1964629,,A
9439800347,101.7065497,3.1406353,,D
9504210024,101.6909066,3.1315206,,A
9504210028,101.6878032,3.1328157,,A
9508388055,101.7094062,3.1426296,,D
9508388057,101.7095249,3.1425262,,E
9508388060,101.7094003,3.1430137,,B
9508388065,101.7102446,3.1509066,,B
9508388066,101.7105244,3.1508352,,C
9508388067,101.7101502,3.1506686,,A
9508388068,101.7045396,3.1562731,,A
9508388069,101.7049268,3.1563885,,B
9508388070,101.7050705,3.1559980,,C
9508388071,101.6991144,3.1593744,,D
9508388072,101.6982849,3.1669355,,A
9508388077,101.6989708,3.1675364,,B
9508388079,101.6960765,3.1730738,,A
9646411432,101.7087611,3.0636527,,A
9740843587,101.6966656,3.1495984,,B
9774145253,101.6755411,3.2051788,,A
9849423415,101.5804609,3.2064203,Pintu Utama;Villamas Condominium;Hospital Sungai Buloh;SJK (T) Saraswathy;ELC International School,A
9849457821,101.5809062,3.2057282,Jalan Kuala Selangor (barat);Tentera Darat Malaysia (Kem Sungai Buloh),B
9849592637,101.5923368,3.2000096,,
9849815460,101.6396741,3.2140816,,B
9849815463,101.6557640,3.2086060,,B
9849815470,101.6661940,3.2067994,Jalan Jinjang Permai 2,C
9849815474,101.6665480,3.2054264,Jalan Jambu Merah,B
9850359889,101.6285850,3.2079071,,
9850375320,101.6399277,3.2144708,,A
9850375370,101.6489325,3.2113028,,A
9850375371,101.6487012,3.2112522,,C
9853266686,101.5723031,3.1766755,,A
9900002870,101.7178544,3.1616584,,B
9909030875,101.6045094,3.1127417,,
9913020228,101.6844092,3.1795286,Jalan Sultan Azlan Shah (Kuala Lumpur),C
9913020229,101.6851874,3.1785215,Jalan Sultan Azlan Shah (Kepong),B
9913020238,101.6814220,3.1895909,Jalan Sultan Azlan Shah,B
9913027320,101.6956044,3.1859324,,
9913027336,101.6953850,3.1854636,,A
9914411088,101.7072341,3.0285907,Jalan Utama,A
9914411090,101.7047318,3.0416764,Jalan Utama,A
9919591009,101.6658468,3.2071860,,C
9924537172,101.6134420,3.0227412,,
9924537173,101.6871067,3.0611094,,A
9924537197,101.7159290,3.1288205,,A
9933445412,101.7361181,3.1760297,,B
9933445415,101.7357293,3.1758808,,A
9933445416,101.7352650,3.1756716,,C
9942835610,100.3667190,5.3936917,,
9983121349,101.6989191,3.1594579,,E
9983121350,101.6964976,3.1491253,,C
9983207462,101.6231592,3.1048242,,
10036593582,101.6969194,3.1499335,,
10211729864,101.7057771,3.0431699,Jalan OS (One South City),B
10211729868,101.7077539,3.0295622,Jalan SP 2/4 (Taman Serdang Perdana),B
10216200615,101.7183643,3.1574126,Jalan Binjai,B
10223843931,101.7900849,2.9829814,Jalan Reko,A
10246792131,101.7407272,3.0910858,Leisure Mall,C
10266244039,101.6606750,2.9835803,,B
10270864772,101.6958928,3.1737287,Jalan Pahang Barat,A
10270868702,101.6972538,3.1741978,,B
10270868726,101.7006824,3.1730906,,A
10270868727,101.7023686,3.1740579,,B
10270868745,101.7124702,3.1677410,Jalan Tun Razak,D
10271036579,101.7099059,3.1677008,Jalan Raja Muda Abdul Aziz,A
10271036580,101.7097873,3.1681411,Jalan Raja Muda Abdul Aziz,B
10271036605,101.7181625,3.1625902,,A
10271036606,101.7180637,3.1569891,The Troika;Masjid Asy-Syakirin;Petronas Twin Towers,C
10271036965,101.7149780,3.1269192,Jalan Metro Pudu,C
10271036984,101.7165731,3.1285816,Jalan Chan Sow Lin,A
10271039830,101.7181983,3.1501510,,B
10271039842,101.7184289,3.1517688,,A
10271071855,101.7161066,3.1275982,,B
10277840675,101.7458598,3.0774787,,C
10594184537,101.7090959,3.0213387,Jalan Raya Satu (Balai Bomba Serdang),A
10594184538,101.7087929,3.0214876,Jalan Raya Satu (Taman Kembang Sari),B
10611678880,101.7061990,3.0086059,Off Jalan Sapucaya,A
10611678881,101.6612310,2.9833139,,A
10611678882,101.6545593,2.9650184,Persiaran Sierra Utama,B
10658294223,101.6653737,2.9395168,Off Persiaran APEC,A
10660535048,101.6806186,3.1897855,Jalan Sultan Azlan Shah (Kompleks Mutiara),A
10706850272,101.6724086,2.9898661,Jalan Putra Permai,B
10722980582,101.6717395,2.9317531,,B
10723194529,101.6727608,2.9891003,Jalan PP 40,A
10727740945,101.6996604,3.0771713,Off Jalan 4/140,A
10727805627,101.6801389,3.1905574,Jalan Sultan Azlan Shah (Ke Arah Kepong),C
10795590948,101.6938877,3.0896471,,A
10795657618,101.6454638,3.1038599,,
10796652215,101.6952265,3.1424831,,E
10796652226,101.6938787,3.1392380,,D
10796652243,101.6940199,3.1397019,,C
10796851698,101.7121408,3.1347568,,
10800273158,101.6955989,3.1425051,,C
10801231762,101.6952723,3.1430072,,D
10804709653,101.6620724,3.1146593,,A
10804709680,101.6620960,3.1145737,,
10830050822,101.6877622,3.1328275,,C
10839997852,101.6572070,2.9497119,Off Persiaran APEC,A
10860751179,101.6952256,3.1732229,Jalan Tun Razak,D
10864116957,101.7314751,3.1651901,,
10941247782,101.7529452,3.1382756,Taman Cahaya;Pandan Indah,
10949038882,101.6808258,3.2376063,,
10949038884,101.6814387,3.2377790,,
11032999050,101.7061295,3.1021458,Salak Selatan;Pekan Salak Selatan;Desa Petaling,
11032999053,101.7064632,3.1020261,Bandar Sri Permaisuri,
11033916949,101.5939259,3.1494167,Tropicana Gardens Mall,
11039579993,101.6933961,3.1667580,Sunway Putra Mall,
11039579994,101.6937307,3.1670090,Chow Kit,
11039725697,101.6962758,3.1493952,,
11052165913,101.7017337,3.1568796,,
11052165924,101.6941597,3.1613493,,
11061429683,101.6717554,3.2146233,,
11061429685,101.6720751,3.2146979,,
11061429686,101.6723239,3.2142628,,
11066919329,101.6381934,3.1044109,,
11187840754,101.6956213,3.1782211,,A
11187967857,101.6958898,3.1783263,,B
11224787496,101.6945443,3.1554140,,
11224787497,101.6945761,3.1556141,,
11224787498,101.6947209,3.1555269,,
11250847387,101.6758664,3.2048026,,
11252711594,101.6754604,3.2048390,,
11257782484,101.6964850,3.1500716,,
11257782485,101.6964161,3.1496995,,
11264561181,101.6811796,3.1981502,,
11307838640,101.6889359,3.1822785,,
11307838642,101.6891631,3.1829473,,
11307838648,101.6891698,3.1825970,,
11307838662,101.6884754,3.1827961,,
11348181710,101.6911614,3.1650272,,
11353407735,101.7241724,3.1646113,,
11375596033,102.2264387,2.4638414,,
11377990463,101.6057262,3.0077199,,B
11377990464,101.6050701,3.0079737,,A
11388844440,101.6050351,3.1126916,,
11390855314,102.0943571,2.5928462,,
11435336038,101.7013943,3.1447429,,
11459346120,101.6633646,3.0617791,PPR Muhibbah Blok E dan F,
11459346125,101.6623773,3.0620618,"PPR Muhibbah Blok A, B, C dan D",A
11622373927,101.9404634,2.7191136,,
11768032038,101.6933203,3.1548719,,
11768421750,101.6930512,3.1548497,,
11871659779,101.6932905,3.1394769,,B
11871659780,101.6934724,3.1400962,,A
